"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 19:53:46 CST 2022","Thu Nov 10 19:53:47 CST 2022","1791","testcase_api","test_002_horn_district_statistics","TestHornDistrictStatistics","","","指挥中心中部地图数据--市级",""
"passed","Thu Nov 10 19:56:36 CST 2022","Thu Nov 10 19:56:39 CST 2022","2929","testcase_api","test_022_boss_ticket_tax_by_time","TestBossTicketTaxByTime","","","税收监管--顶部看板--市级",""
"passed","Thu Nov 10 19:56:25 CST 2022","Thu Nov 10 19:56:26 CST 2022","1298","testcase_api","test_016_boss_tickets","TestBossTickets","","","矿山数据统计--销售数据--列表时间、关键字、区域、产品名称、产品类型综合搜索",""
"passed","Thu Nov 10 19:56:20 CST 2022","Thu Nov 10 19:56:20 CST 2022","353","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","税收监管--告警分类--区县",""
"passed","Thu Nov 10 19:53:50 CST 2022","Thu Nov 10 19:53:50 CST 2022","223","testcase_api","test_003_patrol_daily_patrol_list","TestPatrolDailyPatrolList","","","指挥中心左部日常巡检镇街",""
"passed","Thu Nov 10 19:57:07 CST 2022","Thu Nov 10 19:57:08 CST 2022","225","testcase_api","test_058_bda_count_by_belt","TestMoatOrgFullTree","","","销售数据管理--加工量--所有分类",""
"passed","Thu Nov 10 19:54:01 CST 2022","Thu Nov 10 19:55:11 CST 2022","69326","testcase_api","test_007_boss_belt_data_count_by_point","TestBossBeltDataCountByPoint","","","税收监管今年累计加工量--市级",""
"passed","Thu Nov 10 19:56:28 CST 2022","Thu Nov 10 19:56:29 CST 2022","252","testcase_api","test_019_beacon_alert_statistics","TestBeaconAlertStatistics","","","税收监管--近7日告警提醒--镇街",""
"passed","Thu Nov 10 19:56:51 CST 2022","Thu Nov 10 19:56:51 CST 2022","460","testcase_api","test_031_moat_org_details","TestMoatOrgGeneralTree","","","组织管理--部门与成员--组织--详情",""
"passed","Thu Nov 10 19:53:49 CST 2022","Thu Nov 10 19:53:49 CST 2022","184","testcase_api","test_003_patrol_daily_patrol_list","TestPatrolDailyPatrolList","","","指挥中心左部日常巡检--市级",""
"passed","Thu Nov 10 19:57:01 CST 2022","Thu Nov 10 19:57:01 CST 2022","196","testcase_api","test_050_boss_company","TestMoatOrgFullTree","","","企业管理--矿企管理--企业详情",""
"passed","Thu Nov 10 19:56:16 CST 2022","Thu Nov 10 19:56:16 CST 2022","226","testcase_api","test_012_gbserver_device","TestGbserverDevice","","","驾驶舱矿区实景--全域监管监控(马真良为例)",""
"passed","Thu Nov 10 19:56:03 CST 2022","Thu Nov 10 19:56:03 CST 2022","688","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","指挥中心顶部数据销售量详情--市级",""
"passed","Thu Nov 10 19:54:00 CST 2022","Thu Nov 10 19:54:00 CST 2022","566","testcase_api","test_007_boss_belt_data_count_by_point","TestBossBeltDataCountByPoint","","","指挥中心顶部数据加工量详情--市级",""
"passed","Thu Nov 10 19:56:45 CST 2022","Thu Nov 10 19:56:45 CST 2022","710","testcase_api","test_024_boss_ticket_weight_by_goods","TestBossTicketWeightByGoods","","","税收监管--产矿销售种类占比--市级",""
"passed","Thu Nov 10 19:56:28 CST 2022","Thu Nov 10 19:56:28 CST 2022","194","testcase_api","test_018_mib_out_of_control","TestMibOutOfControl","","","税收监管--各矿区设备在离线情况--区县",""
"passed","Thu Nov 10 19:56:06 CST 2022","Thu Nov 10 19:56:07 CST 2022","1096","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","税收监管今年累计销售量列表--区县",""
"passed","Thu Nov 10 19:56:16 CST 2022","Thu Nov 10 19:56:17 CST 2022","216","testcase_api","test_012_gbserver_device","TestGbserverDevice","","","驾驶舱矿区实景--进出口监控(马真良为例)",""
"passed","Thu Nov 10 19:56:26 CST 2022","Thu Nov 10 19:56:27 CST 2022","671","testcase_api","test_017_moat_area_tree","TestMoatAreaTree","","","税收监管--行政单位树--市级",""
"passed","Thu Nov 10 19:57:17 CST 2022","Thu Nov 10 19:57:17 CST 2022","203","testcase_api","test_071_mib_face1","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:20 CST 2022","Thu Nov 10 19:56:20 CST 2022","329","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","税收监管--告警分类--市级",""
